,cate,salary
440,4,76923
441,1,37500
442,3,52500
443,3,50000
444,3,90000
445,0,92500
446,3,60000
447,1,100000
448,0,95000
449,3,57500
450,4,85000
451,3,80000
452,3,47000
453,3,75000
454,0,100000
455,3,76923
456,3,28000
457,0,70000
458,0,107692
459,1,37500
460,3,52500
461,3,50000
462,3,90000
463,0,92500
464,3,60000
465,1,100000
466,0,95000
467,3,57500
468,4,85000
469,3,80000
470,3,47000
471,3,75000
472,0,100000
473,3,76923
474,3,28000
475,0,70000
476,0,107692
477,1,37500
478,3,52500
479,3,50000
480,3,90000
481,0,92500
482,3,60000
483,1,100000
484,0,95000
485,3,107692
486,3,107692
487,0,107692
488,3,130769
489,4,123076
490,4,42500
491,3,107692
492,3,107692
493,0,107692
494,3,130769
495,4,123076
496,4,42500
497,3,107692
498,3,107692
499,0,107692
500,3,130769
501,3,40000
502,3,55000
503,4,55500
504,4,47000
505,4,47000
506,4,47000
507,4,47000
508,4,47000
509,4,47000
510,4,47000
511,4,47000
512,4,30000
513,4,55500
514,1,90000
515,0,65000
516,1,90000
517,0,65000
518,1,90000
519,0,65000
520,1,90000
521,0,65000
522,1,90000
523,0,65000
524,1,90000
525,0,65000
526,1,90000
527,0,65000
528,1,90000
529,0,65000
530,1,90000
531,0,65000
532,3,100000
533,4,55000
534,3,58000
535,3,100000
536,4,55000
537,1,42500
538,1,44000
539,4,60000
540,3,52500
541,3,52500
542,3,40000
543,3,61538
544,3,44000
545,1,44000
546,4,60000
547,3,52500
548,3,52500
549,3,75000
550,1,60000
551,1,65000
552,2,36000
553,3,33000
554,3,75000
555,1,60000
556,1,65000
557,4,50500
558,3,65000
559,4,35000
560,4,55000
561,3,34800
562,4,41500
563,4,70000
564,3,65000
565,4,35000
566,4,55000
567,3,34800
568,4,41500
569,4,70000
570,3,65000
571,4,60000
572,4,52500
573,4,75000
574,4,75000
575,3,33500
576,3,55000
577,3,50000
578,3,53000
579,4,52500
580,4,75000
581,4,75000
582,3,33500
583,3,55000
584,3,50000
585,3,53000
586,4,50000
587,3,75000
588,3,70000
589,3,70000
590,3,72500
591,0,46500
592,4,50000
593,3,75000
594,3,70000
595,3,70000
596,3,72500
597,0,46500
598,4,50000
599,4,57500
600,4,40000
601,3,35000
602,3,55000
603,3,30450
604,2,33000
605,3,72500
606,4,45000
607,1,57500
608,4,57500
609,0,40000
610,1,35000
611,3,80000
612,1,51000
613,4,50000
614,0,34000
615,4,36500
616,2,40000
617,0,45000
618,4,46500
619,2,50500
620,2,50500
621,4,45000
622,3,43000
623,1,49750
624,0,54000
625,3,45000
626,1,45000
627,3,45000
628,3,45000
629,1,45000
630,2,45000
631,4,77500
632,4,77500
633,4,77500
634,0,44000
635,3,38000
636,4,77500
637,3,60000
638,3,50000
639,4,58500
640,3,55000
641,4,64500
642,3,52500
643,2,36000
644,4,42500
645,4,31500
646,1,76923
647,3,40000
648,3,43000
649,3,45000
650,3,45000
651,4,40500
652,1,45000
653,4,60000
654,0,35000
655,3,34000
656,4,60000
657,0,35000
658,3,34000
659,4,60000
660,0,35000
661,3,34000
662,4,60000
663,0,35000
664,3,34000
665,4,60000
666,0,35000
667,3,34000
668,4,60000
669,0,35000
670,3,34000
671,4,60000
672,0,35000
673,3,34000
674,4,60000
675,0,35000
676,3,34000
677,4,60000
678,0,35000
679,3,34000
680,4,50500
681,3,47500
682,3,70000
683,4,50500
684,3,47500
685,3,70000
686,4,50500
687,3,47500
688,3,105000
689,3,33000
690,3,35000
691,4,54500
692,4,54500
693,4,35000
694,4,35000
695,4,50000
696,4,35000
697,4,35000
698,4,35000
699,3,105000
700,3,33000
701,3,35000
702,0,35000
703,4,42625
704,3,55000
705,1,226200
706,0,40000
707,4,39500
708,3,39000
709,1,226200
710,1,50000
711,1,55000
712,1,43500
713,1,36000
714,3,38500
715,3,43500
716,3,55000
717,3,45000
718,2,64000
719,3,40000
720,4,52500
721,3,45000
722,0,55000
723,1,33000
724,3,60000
725,3,60000
726,3,70000
727,3,40000
728,4,52500
729,3,45000
730,0,55000
731,1,33000
732,3,33000
733,1,44000
734,2,52500
735,2,62500
736,3,32500
737,3,36450
738,3,35000
739,4,49000
740,3,40000
741,4,32000
742,2,40000
743,4,37500
744,0,34000
745,3,58000
746,4,57500
747,4,38500
748,3,55000
749,3,40000
750,1,70000
751,3,55000
752,4,42500
753,2,32200
754,3,40000
755,3,33000
756,3,40000
757,3,55000
758,0,35000
759,3,33000
760,2,46000
761,3,48500
762,3,40000
763,3,30000
764,1,60000
765,3,75000
766,3,32400
767,4,50000
768,3,42500
769,1,41000
770,1,41000
771,3,38500
772,4,40000
773,2,62500
774,2,50000
775,4,88461
776,3,50000
777,2,35000
778,3,45000
779,3,40250
780,3,40250
781,3,30350
782,3,68500
783,4,47500
784,3,45000
785,3,45000
786,3,70000
787,3,65000
788,3,30000
789,2,26000
790,2,33000
791,4,43500
792,1,42500
793,1,51500
794,1,130000
795,1,55769
796,1,45000
797,0,155000
798,4,37500
799,0,61538
800,3,55000
801,3,84615
802,1,95000
803,3,54000
804,1,51500
805,1,130000
806,1,55769
807,1,45000
808,0,155000
809,4,37500
810,0,61538
811,3,55000
812,3,84615
813,1,95000
814,3,54000
815,1,51500
816,1,130000
817,1,55769
818,1,45000
819,0,155000
820,4,37500
821,0,61538
822,3,55000
823,3,84615
824,1,95000
825,3,54000
826,1,51500
827,1,130000
828,1,55769
829,1,45000
830,0,155000
831,4,37500
832,0,61538
833,3,55000
834,3,84615
835,1,95000
836,3,54000
837,1,51500
838,1,130000
839,1,55769
840,1,45000
841,0,155000
842,4,37500
843,0,61538
844,3,55000
845,3,84615
846,1,95000
847,3,54000
848,1,51500
849,1,130000
850,1,55769
851,1,45000
852,0,155000
853,4,37500
854,0,61538
855,3,55000
856,3,84615
857,1,95000
858,3,54000
859,1,51500
860,1,130000
861,1,55769
862,1,45000
863,0,155000
864,4,37500
865,0,61538
866,3,55000
867,3,84615
868,1,95000
869,3,54000
870,1,51500
871,1,130000
872,1,55769
873,1,45000
874,0,155000
875,4,37500
876,0,61538
877,3,55000
878,3,84615
879,1,95000
880,3,54000
881,1,51500
882,1,130000
883,1,55769
884,1,45000
885,0,155000
886,4,37500
887,0,61538
888,3,55000
889,3,84615
890,1,95000
891,3,54000
892,1,51500
893,1,130000
894,1,55769
895,1,45000
896,0,155000
897,4,37500
898,0,61538
899,3,55000
900,3,84615
901,1,95000
902,3,54000
903,1,51500
904,1,130000
905,1,55769
906,1,45000
907,0,155000
908,4,37500
909,0,61538
910,3,55000
911,3,84615
912,1,95000
913,3,54000
914,1,51500
915,1,130000
916,1,55769
917,1,45000
918,0,155000
919,4,37500
920,0,61538
921,3,55000
922,3,84615
923,1,95000
924,3,54000
925,1,51500
926,1,130000
927,1,55769
928,1,45000
929,0,155000
930,4,37500
931,0,61538
932,3,55000
933,3,84615
934,1,95000
935,3,54000
936,1,51500
937,1,130000
938,1,55769
939,1,45000
940,0,155000
941,4,37500
942,0,61538
943,3,55000
944,3,84615
945,1,95000
946,3,54000
947,1,51500
948,1,130000
949,1,55769
950,1,45000
951,0,155000
952,4,37500
953,0,61538
954,3,55000
955,3,84615
956,1,95000
957,3,54000
958,1,51500
959,1,130000
960,1,55769
961,1,45000
962,0,155000
963,4,37500
964,0,61538
965,3,55000
966,3,84615
967,1,95000
968,3,54000
969,1,51500
970,1,130000
971,1,55769
972,1,45000
973,0,155000
974,4,37500
975,0,61538
976,3,55000
977,3,84615
978,1,95000
979,3,54000
980,1,51500
981,1,130000
982,1,55769
983,1,45000
984,0,155000
985,4,37500
986,0,61538
987,3,55000
988,3,84615
989,1,95000
990,3,54000
991,1,51500
992,1,130000
993,1,55769
994,1,45000
995,0,155000
996,4,37500
997,0,61538
998,3,55000
999,3,84615
1000,1,95000
1001,3,54000
1002,1,51500
1003,1,130000
1004,1,55769
1005,3,92307
1006,1,69230
1007,3,48500
1008,3,92307
1009,3,92307
1010,1,58000
1011,3,70000
1012,1,39500
1013,1,47500
1014,0,59500
1015,3,57692
1016,3,45000
1017,1,60000
1018,1,68000
1019,1,55000
1020,3,92307
1021,1,69230
1022,3,48500
1023,3,92307
1024,3,92307
1025,1,58000
1026,3,70000
1027,1,39500
1028,1,47500
1029,0,59500
1030,3,57692
1031,3,45000
1032,1,60000
1033,1,68000
1034,1,55000
1035,3,92307
1036,1,69230
1037,3,48500
1038,3,92307
1039,3,92307
1040,1,58000
1041,3,70000
1042,1,39500
1043,1,47500
1044,0,59500
1045,3,57692
1046,3,45000
1047,1,60000
1048,1,68000
1049,1,55000
1050,3,92307
1051,1,69230
1052,3,48500
1053,3,92307
1054,3,92307
1055,1,58000
1056,3,70000
1057,1,39500
1058,1,47500
1059,0,59500
1060,3,57692
1061,3,45000
1062,1,60000
1063,1,68000
1064,1,55000
1065,3,92307
1066,1,69230
1067,3,48500
1068,3,92307
1069,3,92307
1070,1,58000
1071,3,70000
1072,1,39500
1073,1,47500
1074,0,59500
1075,3,57692
1076,3,45000
1077,1,60000
1078,1,68000
1079,1,55000
1080,3,92307
1081,1,69230
1082,3,48500
1083,3,92307
1084,3,92307
1085,1,58000
1086,3,70000
1087,1,39500
1088,1,47500
1089,0,59500
1090,3,57692
1091,3,45000
1092,1,60000
1093,1,68000
1094,1,55000
1095,3,92307
1096,1,69230
1097,3,48500
1098,3,92307
1099,3,92307
1100,1,58000
1101,3,70000
1102,1,39500
1103,1,47500
1104,0,59500
1105,3,57692
1106,3,45000
1107,1,60000
1108,1,68000
1109,1,55000
1110,3,92307
1111,1,69230
1112,3,48500
1113,3,92307
1114,3,92307
1115,1,58000
1116,3,70000
1117,1,39500
1118,1,47500
1119,0,59500
1120,3,57692
1121,3,45000
1122,0,45000
1123,0,60000
1124,0,42500
1125,1,34000
1126,3,57500
1127,1,76923
1128,0,45000
1129,0,60000
1130,0,42500
1131,1,34000
1132,3,57500
1133,1,76923
1134,0,45000
1135,0,60000
1136,0,42500
1137,1,34000
1138,3,57500
1139,1,76923
1140,0,45000
1141,0,60000
1142,0,42500
1143,1,34000
1144,3,57500
1145,1,76923
1146,0,45000
1147,0,60000
1148,0,42500
1149,1,34000
1150,3,57500
1151,1,76923
1152,0,45000
1153,0,60000
1154,0,42500
1155,1,34000
1156,3,57500
1157,1,76923
1158,0,45000
1159,0,60000
1160,0,42500
1161,1,34000
1162,3,57500
1163,1,76923
1164,0,45000
1165,0,60000
1166,0,42500
1167,1,34000
1168,3,57500
1169,1,76923
1170,0,45000
1171,0,60000
1172,0,42500
1173,1,34000
1174,3,57500
1175,1,76923
1176,0,45000
1177,0,60000
1178,0,42500
1179,1,34000
1180,3,57500
1181,1,76923
1182,0,45000
1183,0,60000
1184,0,42500
1185,1,34000
1186,3,57500
1187,1,76923
1188,0,45000
1189,0,60000
1190,0,42500
1191,1,34000
1192,3,57500
1193,1,76923
1194,0,45000
1195,0,60000
1196,0,42500
1197,1,34000
1198,3,57500
1199,1,76923
1200,0,45000
1201,0,60000
1202,0,42500
1203,1,34000
1204,3,57500
1205,1,76923
1206,0,45000
1207,0,60000
1208,0,42500
1209,1,34000
1210,3,57500
1211,1,76923
1212,0,45000
1213,0,60000
1214,0,42500
1215,1,34000
1216,3,57500
1217,1,76923
1218,0,45000
1219,0,60000
1220,0,42500
1221,1,34000
1222,3,57500
1223,1,76923
1224,0,45000
1225,0,60000
1226,0,42500
1227,1,34000
1228,3,57500
1229,1,76923
1230,0,45000
1231,0,60000
1232,0,42500
1233,1,34000
1234,3,57500
1235,1,76923
1236,0,45000
1237,0,60000
1238,0,42500
1239,1,34000
1240,3,57500
1241,1,76923
1242,0,45000
1243,0,60000
1244,0,42500
1245,1,34000
1246,3,57500
1247,1,76923
1248,0,45000
1249,0,60000
1250,0,42500
1251,1,34000
1252,3,57500
1253,1,76923
1254,0,45000
1255,0,60000
1256,0,42500
1257,1,34000
1258,3,57500
1259,1,76923
1260,0,45000
1261,0,60000
1262,0,42500
1263,1,34000
1264,3,57500
1265,1,76923
1266,0,45000
1267,0,60000
1268,0,42500
1269,1,34000
1270,3,57500
1271,1,76923
1272,0,45000
1273,0,60000
1274,0,42500
1275,1,34000
1276,3,57500
1277,1,76923
1278,0,45000
1279,0,60000
1280,0,42500
1281,1,34000
1282,3,57500
1283,1,76923
1284,0,45000
1285,0,60000
1286,0,42500
1287,1,34000
1288,3,57500
1289,1,76923
1290,0,45000
1291,0,60000
1292,0,42500
1293,1,34000
1294,3,57500
1295,1,76923
1296,0,45000
1297,0,60000
1298,0,42500
1299,1,34000
1300,3,57500
1301,1,76923
1302,0,45000
1303,0,60000
1304,0,42500
1305,1,34000
1306,3,57500
1307,1,76923
1308,0,45000
1309,0,60000
1310,0,42500
1311,1,34000
1312,3,57500
1313,1,76923
1314,0,45000
1315,0,60000
1316,0,42500
1317,1,34000
1318,3,57500
1319,1,76923
1320,0,45000
1321,0,60000
1322,0,42500
1323,1,34000
1324,3,57500
1325,1,76923
1326,0,45000
1327,0,60000
1328,0,42500
1329,1,34000
1330,3,57500
1331,1,76923
1332,0,45000
1333,0,60000
1334,0,42500
1335,1,34000
1336,3,57500
1337,1,76923
1338,0,45000
1339,0,60000
1340,0,42500
1341,1,34000
1342,3,57500
1343,1,76923
1344,0,45000
1345,0,60000
1346,0,42500
1347,1,34000
1348,1,60000
1349,0,68076
1350,1,56000
1351,3,70000
1352,2,55000
1353,3,50000
1354,0,78846
1355,1,60000
1356,0,68076
1357,1,56000
1358,3,70000
1359,2,55000
1360,3,50000
1361,0,78846
1362,1,60000
1363,0,68076
1364,1,56000
1365,3,70000
1366,2,55000
1367,3,50000
1368,0,78846
1369,1,60000
1370,0,68076
1371,1,56000
1372,3,70000
1373,2,55000
1374,3,50000
1375,0,78846
1376,1,60000
1377,0,68076
1378,1,56000
1379,3,70000
1380,2,55000
1381,3,50000
1382,0,78846
1383,1,60000
1384,0,68076
1385,1,56000
1386,3,70000
1387,2,55000
1388,3,50000
1389,0,78846
1390,1,60000
1391,0,68076
1392,1,56000
1393,3,70000
1394,2,55000
1395,3,50000
1396,0,78846
1397,1,60000
1398,0,68076
1399,1,56000
1400,3,70000
1401,2,55000
1402,3,50000
1403,0,78846
1404,1,60000
1405,0,68076
1406,1,56000
1407,3,70000
1408,2,55000
1409,3,50000
1410,0,78846
1411,1,60000
1412,0,68076
1413,1,56000
1414,3,70000
1415,2,55000
1416,3,50000
1417,0,78846
1418,1,60000
1419,0,68076
1420,1,56000
1421,3,70000
1422,2,55000
1423,3,50000
1424,0,78846
1425,1,60000
1426,0,68076
1427,1,56000
1428,3,70000
1429,2,55000
1430,3,50000
1431,0,78846
1432,1,60000
1433,0,68076
1434,1,56000
1435,3,70000
1436,2,55000
1437,3,50000
1438,0,78846
1439,1,60000
1440,0,68076
1441,1,56000
1442,3,70000
1443,2,55000
1444,3,50000
1445,0,78846
1446,1,60000
1447,0,68076
1448,1,56000
1449,3,70000
1450,2,55000
1451,3,50000
1452,0,78846
1453,1,60000
1454,0,68076
1455,1,56000
1456,3,70000
1457,2,55000
1458,3,50000
1459,0,78846
1460,1,60000
1461,0,68076
1462,1,56000
1463,3,70000
1464,2,55000
1465,3,50000
1466,0,78846
1467,1,60000
1468,0,68076
1469,1,56000
1470,3,70000
1471,2,55000
1472,3,50000
1473,0,78846
1474,1,60000
1475,0,68076
1476,1,56000
1477,3,70000
1478,2,55000
1479,3,50000
1480,0,78846
1481,1,60000
1482,0,68076
1483,1,56000
1484,3,70000
1485,2,55000
1486,3,50000
1487,0,78846
1488,1,60000
1489,0,68076
1490,1,56000
1491,3,70000
1492,2,55000
1493,3,50000
1494,0,78846
1495,1,60000
1496,0,68076
1497,1,56000
1498,3,70000
1499,2,55000
1500,3,50000
1501,0,78846
1502,1,60000
1503,0,68076
1504,1,56000
1505,3,70000
1506,2,55000
1507,3,50000
1508,0,78846
1509,1,60000
1510,0,68076
1511,1,56000
1512,3,70000
1513,2,55000
1514,3,50000
1515,0,78846
1516,1,60000
1517,0,68076
1518,1,56000
1519,3,70000
1520,2,55000
1521,3,50000
1522,0,78846
1523,1,60000
1524,0,68076
1525,1,56000
1526,3,70000
1527,2,55000
1528,3,50000
1529,0,78846
1530,1,60000
1531,0,68076
1532,1,56000
1533,3,70000
1534,2,55000
1535,3,50000
1536,0,78846
1537,1,60000
1538,0,68076
1539,1,56000
1540,3,70000
1541,2,55000
1542,3,50000
1543,0,78846
1544,1,60000
1545,0,68076
1546,1,56000
1547,3,70000
1548,2,55000
1549,3,50000
1550,0,78846
1551,1,60000
1552,0,68076
1553,1,56000
1554,3,70000
1555,2,55000
1556,3,50000
1557,0,78846
1558,1,60000
1559,0,68076
1560,1,56000
1561,3,70000
1562,2,55000
1563,3,50000
1564,0,78846
1565,1,60000
1566,0,68076
1567,1,56000
1568,3,70000
1569,2,55000
1570,3,50000
1571,0,78846
1572,1,60000
1573,0,68076
1574,1,56000
1575,3,70000
1576,2,55000
1577,3,50000
1578,0,78846
1579,1,60000
1580,0,68076
1581,1,56000
1582,3,70000
1583,2,55000
1584,3,50000
1585,0,78846
1586,1,60000
1587,0,68076
1588,1,56000
1589,3,70000
1590,2,55000
1591,3,50000
1592,0,78846
1593,1,60000
1594,0,68076
1595,1,56000
1596,3,70000
1597,2,55000
1598,3,50000
1599,0,78846
1600,1,60000
1601,0,68076
1602,1,56000
1603,3,70000
1604,2,55000
1605,3,50000
1606,0,78846
1607,1,60000
1608,0,68076
1609,1,56000
1610,3,70000
1611,2,55000
1612,3,50000
1613,0,78846
1614,1,60000
1615,0,68076
1616,1,56000
1617,3,70000
1618,0,110000
1619,1,35000
1620,3,77500
1621,0,53846
1622,1,37500
1623,1,269230
1624,1,45000
1625,0,76923
1626,1,269230
1627,3,103846
1628,0,110000
1629,1,35000
1630,3,77500
1631,0,53846
1632,1,37500
1633,1,269230
1634,1,45000
1635,0,76923
1636,1,269230
1637,3,103846
1638,0,110000
1639,1,35000
1640,3,77500
1641,0,53846
1642,1,37500
1643,1,269230
1644,1,45000
1645,0,76923
1646,1,269230
1647,3,103846
1648,0,110000
1649,1,35000
1650,3,77500
1651,0,53846
1652,1,37500
1653,1,269230
1654,1,45000
1655,0,76923
1656,1,269230
1657,3,103846
1658,0,110000
1659,1,35000
1660,3,77500
1661,0,53846
1662,1,37500
1663,1,269230
1664,1,45000
1665,0,76923
1666,1,269230
1667,3,103846
1668,0,110000
1669,1,35000
1670,3,77500
1671,0,53846
1672,1,37500
1673,1,269230
1674,1,45000
1675,0,76923
1676,1,269230
1677,3,103846
1678,0,110000
1679,1,35000
1680,3,77500
1681,0,53846
1682,1,37500
1683,1,269230
1684,1,45000
1685,0,76923
1686,1,269230
1687,3,103846
1688,0,110000
1689,1,35000
1690,3,77500
1691,0,53846
1692,1,37500
1693,1,269230
1694,1,45000
1695,0,76923
1696,1,269230
1697,3,103846
1698,0,110000
1699,1,35000
1700,3,77500
1701,0,53846
1702,1,37500
1703,1,269230
1704,1,45000
1705,0,76923
1706,1,269230
1707,3,103846
1708,0,110000
1709,1,35000
1710,3,77500
1711,0,53846
1712,1,37500
1713,1,269230
1714,1,45000
1715,0,76923
1716,1,269230
1717,3,103846
1718,0,110000
1719,1,35000
1720,3,77500
1721,0,53846
1722,1,37500
1723,1,269230
1724,1,45000
1725,0,76923
1726,1,269230
1727,3,103846
1728,0,110000
1729,1,35000
1730,3,77500
1731,0,53846
1732,1,37500
1733,1,269230
1734,1,45000
1735,0,76923
1736,1,269230
1737,3,103846
1738,0,110000
1739,1,35000
1740,3,77500
1741,0,53846
1742,1,37500
1743,1,269230
1744,1,45000
1745,0,76923
1746,1,269230
1747,3,103846
1748,0,110000
1749,1,35000
1750,3,77500
1751,0,53846
1752,1,37500
1753,1,269230
1754,1,45000
1755,0,76923
1756,1,269230
1757,3,103846
1758,0,110000
1759,1,35000
1760,3,77500
1761,0,53846
1762,1,37500
1763,1,269230
1764,1,45000
1765,0,76923
1766,1,269230
1767,3,103846
1768,0,110000
1769,1,35000
1770,3,77500
1771,0,53846
1772,1,37500
1773,1,269230
1774,1,45000
1775,0,76923
1776,1,269230
1777,3,103846
1778,0,110000
1779,1,35000
1780,3,77500
1781,0,53846
1782,1,37500
1783,1,269230
1784,1,45000
1785,0,76923
1786,1,269230
1787,3,103846
1788,0,110000
1789,1,35000
1790,3,77500
1791,0,53846
1792,1,37500
1793,1,269230
1794,1,45000
1795,0,76923
1796,1,269230
1797,3,103846
1798,0,110000
1799,1,35000
1800,3,77500
1801,0,53846
1802,1,37500
1803,1,269230
1804,1,45000
1805,0,76923
1806,1,269230
1807,3,103846
1808,0,110000
1809,1,35000
1810,3,77500
1811,0,53846
1812,1,37500
1813,1,269230
1814,1,45000
1815,0,76923
1816,1,269230
1817,3,103846
1818,0,110000
1819,1,35000
1820,3,77500
1821,0,53846
1822,1,37500
1823,1,269230
1824,1,45000
1825,0,76923
1826,1,269230
1827,3,103846
1828,0,110000
1829,1,35000
1830,3,77500
1831,0,53846
1832,1,37500
1833,1,269230
1834,1,45000
1835,0,76923
1836,1,269230
1837,3,103846
1838,0,110000
1839,1,35000
1840,3,77500
1841,0,53846
1842,1,37500
1843,1,269230
1844,1,45000
1845,0,76923
1846,1,269230
1847,3,103846
1848,0,110000
1849,1,35000
1850,3,77500
1851,0,53846
1852,1,37500
1853,1,269230
1854,1,45000
1855,0,76923
1856,1,269230
1857,3,103846
1858,0,110000
1859,1,35000
1860,3,77500
1861,0,53846
1862,1,37500
1863,1,269230
1864,1,45000
1865,0,76923
1866,1,269230
1867,3,103846
1868,0,110000
1869,1,35000
1870,3,77500
1871,0,53846
1872,1,37500
