,salary,tool
38,60000,Python
38,60000,MySQL
38,60000,JavaScript
38,60000,Node.js
39,45000,Windows10
39,45000,WindowsServer2019
39,45000,ASP
39,45000,ASP.NET
39,45000,C#
39,45000,Java
39,45000,JSP
39,45000,JDBC
39,45000,MSSQL
39,45000,Tomcat
39,45000,IIS
39,45000,Visio
39,45000,Word
40,87500,Linux
40,87500,C++
40,87500,Socket
41,47500,
43,60000,UNIX
43,60000,Github
43,60000,Python
43,60000,MySQL
43,60000,JavaScript
43,60000,Node.js
44,60000,UNIX
44,60000,PHP
44,60000,Python
44,60000,MySQL
44,60000,JavaScript
45,60000,Linux
45,60000,UNIX
45,60000,PHP
45,60000,Python
45,60000,MySQL
45,60000,JavaScript
48,87500,Linux
48,87500,C++
48,87500,Socket
52,61923,iOS
52,61923,Objective-C
52,61923,SWIFT
53,61923,Android
53,61923,Java
53,61923,Kotlin
54,62500,
56,37500,
59,38000,Java
59,38000,Excel
59,38000,Outlook
59,38000,PowerPoint
59,38000,Word
65,115384,C++
65,115384,Python
66,115384,Git
67,96153,iOS
67,96153,SWIFT
68,115384,Git
68,115384,ASP.NET
68,115384,Go
68,115384,AWS
69,115384,Git
69,115384,HTML
69,115384,Sass
69,115384,Angular
70,45000,
75,61538,Excel
75,61538,PowerPoint
75,61538,Project
75,61538,Visio
76,55000,ASP.NET
76,55000,MSSQL
76,55000,JavaScript
79,35000,
83,60000,
85,80769,
86,60000,OOAD
86,60000,SystemsAnalysis
86,60000,UML
86,60000,ASP.NET
86,60000,Java
86,60000,DataModeling
87,60000,OOAD
87,60000,SystemsAnalysis
87,60000,UML
87,60000,ASP.NET
87,60000,Java
87,60000,DataModeling
92,60000,MSSQL
92,60000,HTML
95,87500,OOP
95,87500,C#
95,87500,C++
95,87500,MSSQL
96,82500,OOP
96,82500,C#
96,82500,C++
96,82500,MFC
96,82500,MySQL
97,60000,Linux
97,60000,Python
97,60000,Node.js
98,80000,Linux
98,80000,Python
98,80000,Node.js
100,100000,Java
101,60000,
109,35000,
113,60000,
115,80769,
116,60000,OOAD
116,60000,SystemsAnalysis
116,60000,UML
116,60000,ASP.NET
116,60000,Java
116,60000,DataModeling
117,60000,OOAD
117,60000,SystemsAnalysis
117,60000,UML
117,60000,ASP.NET
117,60000,Java
117,60000,DataModeling
122,60000,MSSQL
122,60000,HTML
125,87500,OOP
125,87500,C#
125,87500,C++
125,87500,MSSQL
126,82500,OOP
126,82500,C#
126,82500,C++
126,82500,MFC
126,82500,MySQL
127,60000,Linux
127,60000,Python
127,60000,Node.js
128,80000,Linux
128,80000,Python
128,80000,Node.js
130,100000,Java
131,60000,
139,35000,
143,60000,
145,80769,
146,60000,OOAD
146,60000,SystemsAnalysis
146,60000,UML
146,60000,ASP.NET
146,60000,Java
146,60000,DataModeling
147,60000,OOAD
147,60000,SystemsAnalysis
147,60000,UML
147,60000,ASP.NET
147,60000,Java
147,60000,DataModeling
152,60000,MSSQL
152,60000,HTML
155,87500,OOP
155,87500,C#
155,87500,C++
155,87500,MSSQL
156,82500,OOP
156,82500,C#
156,82500,C++
156,82500,MFC
156,82500,MySQL
157,60000,Linux
157,60000,Python
157,60000,Node.js
158,80000,Linux
158,80000,Python
158,80000,Node.js
160,100000,Java
161,60000,
169,35000,
173,60000,
175,80769,
176,60000,OOAD
176,60000,SystemsAnalysis
176,60000,UML
176,60000,ASP.NET
176,60000,Java
176,60000,DataModeling
177,60000,OOAD
177,60000,SystemsAnalysis
177,60000,UML
177,60000,ASP.NET
177,60000,Java
177,60000,DataModeling
182,60000,MSSQL
182,60000,HTML
185,87500,OOP
185,87500,C#
185,87500,C++
185,87500,MSSQL
186,82500,OOP
186,82500,C#
186,82500,C++
186,82500,MFC
186,82500,MySQL
187,60000,Linux
187,60000,Python
187,60000,Node.js
188,80000,Linux
188,80000,Python
188,80000,Node.js
190,100000,Java
192,40000,
194,77500,
195,40000,
198,70000,Git
198,70000,PHP
198,70000,MySQL
198,70000,AWS
199,78846,
202,60000,Git
202,60000,PHP
202,60000,MySQL
202,60000,AWS
204,50000,
210,50000,
218,35000,ASP.NET
218,35000,C#
218,35000,MSSQL
218,35000,HTML
218,35000,JavaScript
218,35000,CSS
222,40000,
224,77500,
225,40000,
228,70000,Git
228,70000,PHP
228,70000,MySQL
228,70000,AWS
229,78846,
232,60000,Git
232,60000,PHP
232,60000,MySQL
232,60000,AWS
234,50000,
240,50000,
248,35000,ASP.NET
248,35000,C#
248,35000,MSSQL
248,35000,HTML
248,35000,JavaScript
248,35000,CSS
252,40000,
254,77500,
255,40000,
258,70000,Git
258,70000,PHP
258,70000,MySQL
258,70000,AWS
259,78846,
262,60000,Git
262,60000,PHP
262,60000,MySQL
262,60000,AWS
264,50000,
270,50000,
278,35000,ASP.NET
278,35000,C#
278,35000,MSSQL
278,35000,HTML
278,35000,JavaScript
278,35000,CSS
282,40000,
284,77500,
285,40000,
288,70000,Git
288,70000,PHP
288,70000,MySQL
288,70000,AWS
289,78846,
292,60000,Git
292,60000,PHP
292,60000,MySQL
292,60000,AWS
294,50000,
300,50000,
308,35000,ASP.NET
308,35000,C#
308,35000,MSSQL
308,35000,HTML
308,35000,JavaScript
308,35000,CSS
312,40000,
314,77500,
315,40000,
318,70000,Git
318,70000,PHP
318,70000,MySQL
318,70000,AWS
319,78846,
322,60000,Git
322,60000,PHP
322,60000,MySQL
322,60000,AWS
324,50000,
330,50000,
338,35000,ASP.NET
338,35000,C#
338,35000,MSSQL
338,35000,HTML
338,35000,JavaScript
338,35000,CSS
342,40000,
344,77500,
345,40000,
348,70000,Git
348,70000,PHP
348,70000,MySQL
348,70000,AWS
349,78846,
350,115384,
351,92307,Git
351,92307,ASP.NET
352,269230,HTML
352,269230,JavaScript
352,269230,CSS
352,269230,Node.js
352,269230,ReactNative
352,269230,ReactJS
352,269230,Redux
354,85000,
357,65000,Windows10
357,65000,ASP.NET
357,65000,MSSQL
357,65000,JavaScript
358,50000,Android
367,92500,Linux
367,92500,Github
367,92500,Jenkins
367,92500,Git
367,92500,Java
367,92500,PHP
367,92500,Go
367,92500,MySQL
367,92500,HTTP
367,92500,TCP/IP
371,50000,
372,95000,Linux
372,95000,Github
372,95000,Go
372,95000,MySQL
372,95000,HTTP
372,95000,TCP/IP
374,100000,Java
374,100000,JavaScript
376,82500,Linux
376,82500,Git
376,82500,Python
376,82500,VM
378,50000,C#
378,50000,MSSQL
378,50000,HTML
378,50000,jQuery
378,50000,IIS
380,115384,
381,92307,Git
381,92307,ASP.NET
382,269230,HTML
382,269230,JavaScript
382,269230,CSS
382,269230,Node.js
382,269230,ReactNative
382,269230,ReactJS
382,269230,Redux
384,85000,
387,65000,Windows10
387,65000,ASP.NET
387,65000,MSSQL
387,65000,JavaScript
388,50000,Android
397,92500,Linux
397,92500,Github
397,92500,Jenkins
397,92500,Git
397,92500,Java
397,92500,PHP
397,92500,Go
397,92500,MySQL
397,92500,HTTP
397,92500,TCP/IP
401,50000,
402,95000,Linux
402,95000,Github
402,95000,Go
402,95000,MySQL
402,95000,HTTP
402,95000,TCP/IP
404,100000,Java
404,100000,JavaScript
406,82500,Linux
406,82500,Git
406,82500,Python
406,82500,VM
408,50000,C#
408,50000,MSSQL
408,50000,HTML
408,50000,jQuery
408,50000,IIS
410,115384,
411,92307,Git
411,92307,ASP.NET
412,269230,HTML
412,269230,JavaScript
412,269230,CSS
412,269230,Node.js
412,269230,ReactNative
412,269230,ReactJS
412,269230,Redux
414,85000,
417,65000,Windows10
417,65000,ASP.NET
417,65000,MSSQL
417,65000,JavaScript
418,50000,Android
422,47000,GoogleAnalytics
422,47000,AxureRP
422,47000,InVision
422,47000,AdobeXD
423,28000,ASP.NET
423,28000,C++.Net
423,28000,Java
423,28000,VisualBasic.net
423,28000,VisualStudio.net
423,28000,JavaScript
429,125000,
433,45000,
434,184615,
437,60000,Github
437,60000,Git
437,60000,Java
437,60000,PHP
437,60000,Python
437,60000,MSSQL
437,60000,MySQL
437,60000,HTML
437,60000,JavaScript
437,60000,CSS
437,60000,ReactNative
437,60000,ReactJS
437,60000,AngularJS
437,60000,Angular
441,80000,JavaScript
441,80000,ReactJS
441,80000,VueJS
441,80000,Angular
442,86500,Git
442,86500,JavaScript
442,86500,Node.js
442,86500,ReactJS
453,40000,
455,107692,Git
455,107692,Java
455,107692,Spring
455,107692,JavaScript
464,45000,
465,184615,
468,60000,Github
468,60000,Git
468,60000,Java
468,60000,PHP
468,60000,Python
468,60000,MSSQL
468,60000,MySQL
468,60000,HTML
468,60000,JavaScript
468,60000,CSS
468,60000,ReactNative
468,60000,ReactJS
468,60000,AngularJS
468,60000,Angular
472,80000,JavaScript
472,80000,ReactJS
472,80000,VueJS
472,80000,Angular
473,86500,Git
473,86500,JavaScript
473,86500,Node.js
473,86500,ReactJS
484,40000,
486,107692,Git
486,107692,Java
486,107692,Spring
486,107692,JavaScript
495,45000,
496,184615,
499,60000,Github
499,60000,Git
499,60000,Java
499,60000,PHP
499,60000,Python
499,60000,MSSQL
499,60000,MySQL
499,60000,HTML
499,60000,JavaScript
499,60000,CSS
499,60000,ReactNative
499,60000,ReactJS
499,60000,AngularJS
499,60000,Angular
503,80000,JavaScript
503,80000,ReactJS
503,80000,VueJS
503,80000,Angular
504,86500,Git
504,86500,JavaScript
504,86500,Node.js
504,86500,ReactJS
515,40000,
517,107692,Git
517,107692,Java
517,107692,Spring
517,107692,JavaScript
526,45000,
527,184615,
530,60000,Github
530,60000,Git
530,60000,Java
530,60000,PHP
530,60000,Python
530,60000,MSSQL
530,60000,MySQL
530,60000,HTML
530,60000,JavaScript
530,60000,CSS
530,60000,ReactNative
530,60000,ReactJS
530,60000,AngularJS
530,60000,Angular
534,80000,JavaScript
534,80000,ReactJS
534,80000,VueJS
534,80000,Angular
535,86500,Git
535,86500,JavaScript
535,86500,Node.js
535,86500,ReactJS
546,40000,
548,107692,Git
548,107692,Java
548,107692,Spring
548,107692,JavaScript
557,45000,
558,184615,
561,60000,Github
561,60000,Git
561,60000,Java
561,60000,PHP
561,60000,Python
561,60000,MSSQL
561,60000,MySQL
561,60000,HTML
561,60000,JavaScript
561,60000,CSS
561,60000,ReactNative
561,60000,ReactJS
561,60000,AngularJS
561,60000,Angular
565,80000,JavaScript
565,80000,ReactJS
565,80000,VueJS
565,80000,Angular
566,86500,Git
566,86500,JavaScript
566,86500,Node.js
566,86500,ReactJS
577,40000,
579,107692,Git
579,107692,Java
579,107692,Spring
579,107692,JavaScript
587,47500,HTML
587,47500,JavaScript
587,47500,jQuery
587,47500,CSS
587,47500,ReactJS
588,80769,MacOS
588,80769,AJAX
588,80769,PHP
588,80769,MySQL
588,80769,HTML
588,80769,JavaScript
588,80769,CSS
588,80769,Node.js
588,80769,VueJS
594,50000,Linux
594,50000,Mac/Macintosh
594,50000,Windows7
594,50000,Android
594,50000,iOS
596,50000,Linux
596,50000,MCU
596,50000,C
596,50000,C++
596,50000,Java
609,85000,SystemsAnalysis
609,85000,SystemsAnalyst
609,85000,UML
609,85000,Java
609,85000,AxureRP
612,40000,
613,87500,SystemsAnalysis
613,87500,Excel
613,87500,PowerPoint
613,87500,Project
613,87500,Word
613,87500,Xmind
616,60000,AxureRP
617,80000,C
617,80000,Python
619,95000,SystemsAnalysis
619,95000,SystemsAnalyst
619,95000,UML
619,95000,Java
619,95000,Xmind
619,95000,Sketch
619,95000,AxureRP
620,40000,
640,85000,SystemsAnalysis
640,85000,SystemsAnalyst
640,85000,UML
640,85000,Java
640,85000,AxureRP
643,40000,
644,87500,SystemsAnalysis
644,87500,Excel
644,87500,PowerPoint
644,87500,Project
644,87500,Word
644,87500,Xmind
647,60000,AxureRP
648,80000,C
648,80000,Python
650,95000,SystemsAnalysis
650,95000,SystemsAnalyst
650,95000,UML
650,95000,Java
650,95000,Xmind
650,95000,Sketch
650,95000,AxureRP
651,40000,
671,85000,SystemsAnalysis
671,85000,SystemsAnalyst
671,85000,UML
671,85000,Java
671,85000,AxureRP
674,40000,
675,87500,SystemsAnalysis
675,87500,Excel
675,87500,PowerPoint
675,87500,Project
675,87500,Word
675,87500,Xmind
678,60000,AxureRP
679,80000,C
679,80000,Python
681,95000,SystemsAnalysis
681,95000,SystemsAnalyst
681,95000,UML
681,95000,Java
681,95000,Xmind
681,95000,Sketch
681,95000,AxureRP
682,40000,
702,85000,SystemsAnalysis
702,85000,SystemsAnalyst
702,85000,UML
702,85000,Java
702,85000,AxureRP
705,40000,
706,87500,SystemsAnalysis
706,87500,Excel
706,87500,PowerPoint
706,87500,Project
706,87500,Word
706,87500,Xmind
709,60000,AxureRP
710,80000,C
710,80000,Python
712,95000,SystemsAnalysis
712,95000,SystemsAnalyst
712,95000,UML
712,95000,Java
712,95000,Xmind
712,95000,Sketch
712,95000,AxureRP
713,40000,
733,85000,SystemsAnalysis
733,85000,SystemsAnalyst
733,85000,UML
733,85000,Java
733,85000,AxureRP
736,40000,
737,87500,SystemsAnalysis
737,87500,Excel
737,87500,PowerPoint
737,87500,Project
737,87500,Word
737,87500,Xmind
740,60000,AxureRP
741,80000,C
741,80000,Python
743,95000,SystemsAnalysis
743,95000,SystemsAnalyst
743,95000,UML
743,95000,Java
743,95000,Xmind
743,95000,Sketch
743,95000,AxureRP
744,40000,
764,85000,SystemsAnalysis
764,85000,SystemsAnalyst
764,85000,UML
764,85000,Java
764,85000,AxureRP
767,40000,
768,87500,SystemsAnalysis
768,87500,Excel
768,87500,PowerPoint
768,87500,Project
768,87500,Word
768,87500,Xmind
771,60000,AxureRP
772,80000,C
772,80000,Python
774,95000,SystemsAnalysis
774,95000,SystemsAnalyst
774,95000,UML
774,95000,Java
774,95000,Xmind
774,95000,Sketch
774,95000,AxureRP
775,40000,
795,85000,SystemsAnalysis
795,85000,SystemsAnalyst
795,85000,UML
795,85000,Java
795,85000,AxureRP
798,40000,
799,87500,SystemsAnalysis
799,87500,Excel
799,87500,PowerPoint
799,87500,Project
799,87500,Word
799,87500,Xmind
802,60000,AxureRP
803,80000,C
803,80000,Python
805,95000,SystemsAnalysis
805,95000,SystemsAnalyst
805,95000,UML
805,95000,Java
805,95000,Xmind
805,95000,Sketch
805,95000,AxureRP
806,40000,
822,41500,
838,70000,
839,192307,C#
839,192307,C++
842,70000,
843,51000,
844,80000,
845,80000,
852,41500,
868,70000,
869,192307,C#
869,192307,C++
872,70000,
873,51000,
874,80000,
875,80000,
882,41500,
892,115384,C
892,115384,C++
893,40000,
896,47500,
900,60000,
903,43000,Java
903,43000,Excel
903,43000,PowerPoint
903,43000,Project
903,43000,Word
904,45000,
907,100000,Java
909,75000,
913,86538,ASP.NET
913,86538,C#
914,42000,MacOS
914,42000,Java
914,42000,JavaScript
914,42000,CSS
915,86538,HTML
915,86538,JavaScript
915,86538,XML
915,86538,jQuery
915,86538,CSS
915,86538,Sass
915,86538,AngularJS
915,86538,VueJS
915,86538,Angular
921,130769,Git
921,130769,C++
921,130769,Java
921,130769,HTML
921,130769,JavaScript
921,130769,jQuery
921,130769,CSS
921,130769,Sass
921,130769,VueJS
921,130769,Angular
929,48000,
936,59500,ASP.NET
936,59500,VisualBasic.net
936,59500,VisualStudio
936,59500,VisualStudio.net
936,59500,MSSQL
936,59500,HTML
936,59500,JavaScript
936,59500,jQuery
936,59500,CSS
937,50000,
941,35000,Linux
941,35000,Git
941,35000,C
941,35000,C++
949,57500,
954,55000,Linux
954,55000,Java
954,55000,Spring
954,55000,Struts
954,55000,MSSQL
954,55000,jQuery
967,50000,
971,35000,Linux
971,35000,Git
971,35000,C
971,35000,C++
979,57500,
984,55000,Linux
984,55000,Java
984,55000,Spring
984,55000,Struts
984,55000,MSSQL
984,55000,jQuery
999,80000,
1007,29000,
1012,60000,Git
1012,60000,C#
1012,60000,WinForm
1012,60000,MSSQL
1012,60000,XMLWebservices
1012,60000,IIS
1029,80000,
1037,29000,
1042,60000,Git
1042,60000,C#
1042,60000,WinForm
1042,60000,MSSQL
1042,60000,XMLWebservices
1042,60000,IIS
1059,80000,
1063,75000,
1069,62500,Linux
1069,62500,MCU
1069,62500,C
1069,62500,C++
1069,62500,Python
1069,62500,MySQL
1069,62500,HTML
1069,62500,JavaScript
1069,62500,CSS
1069,62500,ADC
1069,62500,ARM
1069,62500,Assembly
1069,62500,CircuitDesign
1069,62500,Firmware
1070,62500,Linux
1070,62500,ASP
1070,62500,C
1070,62500,C++
1070,62500,RPG
1070,62500,ADC
1070,62500,ARM
1070,62500,Assembly
1070,62500,CircuitDesign
1070,62500,DSP
1070,62500,Firmware
1070,62500,FPGA
1070,62500,Protel
1075,60000,
1088,41000,C#
1088,41000,C++
1088,41000,VisualBasic
1088,41000,LabVIEW
1088,41000,PLC
1098,50000,Linux
1098,50000,ASP.NET
1098,50000,C
1098,50000,C++
1098,50000,C++.Net
1098,50000,Java
1098,50000,PHP
1098,50000,MSSQL
1098,50000,MySQL
1098,50000,Dreamweaver
1098,50000,HTML
1098,50000,JavaScript
1098,50000,XML
1098,50000,中文打字50~75
1098,50000,英文打字50~75
1098,50000,AdobePhotoshop
1098,50000,Illustrator
1122,45000,
1125,34000,Linux
1125,34000,Android
1125,34000,iOS
1125,34000,C++
1125,34000,Java
1125,34000,PHP
1125,34000,Go
1126,45000,Linux
1126,45000,Android
1126,45000,iOS
1126,45000,C++
1126,45000,Java
1126,45000,PHP
1126,45000,Go
1127,46500,Linux
1127,46500,C++
1127,46500,PHP
1136,45000,Python
1137,45000,C#
1137,45000,Unity3D
1138,45000,
1139,45000,Go
1139,45000,JavaScript
1139,45000,Node.js
1143,31000,
1146,40000,
1150,44000,Github
1150,44000,C
1150,44000,C#
1150,44000,Python
1150,44000,MSSQL
1150,44000,MySQL
1150,44000,ODBC
1150,44000,Oracle
1150,44000,PostgreSQL
1150,44000,JavaScript
1159,31000,Excel
1159,31000,PowerPoint
1159,31000,Word
1159,31000,中文打字50~75
1159,31000,英文打字50~75
1160,52500,ASP.NET
1160,52500,C#
1160,52500,VisualC#
1160,52500,VisualStudio.net
1162,47500,PHP
1162,47500,MySQL
1162,47500,HTML
1162,47500,JavaScript
1164,80000,ASP.NET
1164,80000,C#
1164,80000,MSSQL
1164,80000,MySQL
1164,80000,PostgreSQL
1164,80000,ReactJS
1164,80000,VueJS
1164,80000,Angular
1167,60000,Git
1167,60000,C#
1167,60000,PHP
1167,60000,MSSQL
1167,60000,MySQL
1173,62500,C
1173,62500,C#
1173,62500,C++
1174,114000,ASP
1174,114000,C#
1174,114000,MSSQL
1174,114000,Oracle
1175,58000,Linux
1175,58000,PHP
1175,58000,MySQL
1175,58000,HTML
1175,58000,JavaScript
1175,58000,XML
1175,58000,jQuery
1175,58000,CSS
1175,58000,Sass
1175,58000,Node.js
1175,58000,D3.js
1177,45000,Excel
1177,45000,PowerPoint
1177,45000,Word
1179,70000,Python
1179,70000,MSSQL
1179,70000,PowerBI
1180,80000,Python
1180,80000,LabVIEW
1180,80000,R
1180,80000,Go
1180,80000,JDBC
1180,80000,MSSQL
1180,80000,MySQL
1180,80000,Oracle
1180,80000,PostgreSQL
1180,80000,hadoop
1180,80000,AWS
1180,80000,Tableau
1180,80000,PowerBI
1180,80000,Hive
1180,80000,SAN/NAS
1180,80000,Teradata
1180,80000,TIBCO
1190,75000,Access
1190,75000,Excel
1190,75000,Outlook
1190,75000,PowerPoint
1190,75000,Project
1190,75000,Publisher
1190,75000,Visio
1190,75000,Word
1190,75000,Unity3D
1191,65000,C#
1191,65000,Unity3D
1192,60000,Access
1192,60000,Excel
1192,60000,Outlook
1192,60000,PowerPoint
1192,60000,Project
1192,60000,Publisher
1192,60000,Visio
1192,60000,Word
1192,60000,Unity3D
1193,57500,C#
1193,57500,C++
1193,57500,Java
1193,57500,JavaScript
1193,57500,Unity3D
1194,50000,C#
1194,50000,VisualStudio
1195,52500,Git
1195,52500,C#
1195,52500,VisualStudio
1195,52500,Unity3D
1197,90000,ASP.NET
1197,90000,C#
1197,90000,C++
1197,90000,Java
1197,90000,PHP
1197,90000,VisualStudio.net
1197,90000,Go
1197,90000,JavaScript
1197,90000,Unity3D
1198,92307,C#
1198,92307,VisualStudio
1199,50000,C#
1199,50000,VisualStudio
1200,65000,
1203,48000,ASP.NET
1203,48000,VisualC#
1203,48000,VisualStudio.net
1203,48000,MSSQL
1203,48000,MySQL
1212,32000,VisualC#
1212,32000,VisualStudio.net
1212,32000,Oracle
1212,32000,SAPDB
1212,32000,SAP
1226,40000,
1236,40500,
1242,32000,VisualC#
1242,32000,VisualStudio.net
1242,32000,Oracle
1242,32000,SAPDB
1242,32000,SAP
1248,50000,
1249,50000,
1260,60000,Cisco
1271,55000,
1276,38500,PowerPoint
1276,38500,Word
1276,38500,AdobePhotoshop
1276,38500,Illustrator
1284,65000,
1286,50000,Java
1286,50000,MSSQL
1286,50000,MySQL
1286,50000,HTML
1286,50000,AngularJS
1286,50000,VueJS
1291,63328,OOP
1291,63328,UML
1291,63328,AJAX
1291,63328,PHP
1291,63328,MySQL
1291,63328,HTML
1291,63328,jQuery
1291,63328,CSS
1291,63328,VueJS
1301,55000,
1306,38500,PowerPoint
1306,38500,Word
1306,38500,AdobePhotoshop
1306,38500,Illustrator
1314,65000,
1316,50000,Java
1316,50000,MSSQL
1316,50000,MySQL
1316,50000,HTML
1316,50000,AngularJS
1316,50000,VueJS
1321,63328,OOP
1321,63328,UML
1321,63328,AJAX
1321,63328,PHP
1321,63328,MySQL
1321,63328,HTML
1321,63328,jQuery
1321,63328,CSS
1321,63328,VueJS
1331,55000,
1336,38500,PowerPoint
1336,38500,Word
1336,38500,AdobePhotoshop
1336,38500,Illustrator
1344,65000,
1346,50000,Java
1346,50000,MSSQL
1346,50000,MySQL
1346,50000,HTML
1346,50000,AngularJS
1346,50000,VueJS
1351,63328,OOP
1351,63328,UML
1351,63328,AJAX
1351,63328,PHP
1351,63328,MySQL
1351,63328,HTML
1351,63328,jQuery
1351,63328,CSS
1351,63328,VueJS
1366,80000,Java
1366,80000,MSSQL
1366,80000,HTML
1366,80000,J2EE
1366,80000,J2SE
1366,80000,JavaScript
1366,80000,jQuery
1366,80000,CSS
1366,80000,Node.js
1366,80000,VueJS
1374,77500,
1377,40500,VisualC++
1377,40500,Excel
1377,40500,PowerPoint
1380,60000,Excel
1380,60000,PowerPoint
1380,60000,Project
1380,60000,Word
1380,60000,Planner
1401,60000,C
1401,60000,C++
1401,60000,Python
1408,37625,
1413,85000,
1414,40000,Windows2000
1414,40000,Windows2003
1414,40000,Windows95
1414,40000,Windows98
1414,40000,WindowsMobile
1414,40000,WindowsNT
1414,40000,WindowsVista
1414,40000,WindowsXP
1414,40000,Windows7
1414,40000,WindowsServer2008
1414,40000,Android
1414,40000,iOS
1414,40000,Windows8
1414,40000,WindowsServer2012
1414,40000,Windows10
1414,40000,WindowsServer2019
1414,40000,DHTML
1414,40000,ElectronicPayment
1414,40000,HTML
1414,40000,HTTP
1414,40000,Excel
1414,40000,PowerPoint
1414,40000,Word
1415,51500,MFC
1415,51500,VisualC#
1415,51500,VisualC++
1415,51500,WinForm
1418,150000,Python
1418,150000,PowerPoint
1422,33500,Excel
1422,33500,PowerPoint
1422,33500,Word
1423,50000,Python
1423,50000,Xmind
1423,50000,AxureRP
1426,50000,Linux
1426,50000,PHP
1426,50000,MySQL
1429,38500,Linux
1429,38500,PHP
1429,38500,MySQL
1430,50000,Linux
1430,50000,PHP
1430,50000,AWS
1431,55000,C#
1431,55000,MSSQL
1431,55000,HTML
1431,55000,JavaScript
1432,115384,Ruby
1432,115384,Rails
1432,115384,MySQL
1432,115384,RDBMS
1432,115384,HTML
1432,115384,JavaScript
1432,115384,CSS
1433,47500,
1434,45000,C#
1434,45000,3dsMax
1434,45000,MAYA
1434,45000,Unity3D
1434,45000,UnrealEngine
1435,37000,HTML
1435,37000,JavaScript
1435,37000,CSS
1436,100000,Linux
1436,100000,Windows7
1436,100000,Windows8
1436,100000,Windows10
1436,100000,MSSQL
1437,85000,
1438,46000,
1440,100000,Linux
1440,100000,Windows7
1440,100000,Windows8
1440,100000,Windows10
1440,100000,MSSQL
1441,100000,Linux
1441,100000,Windows7
1441,100000,Windows8
1441,100000,Windows10
1441,100000,MSSQL
1442,40000,Excel
1442,40000,PowerPoint
1442,40000,Word
1442,40000,WPS
1443,45000,
1445,40000,
1448,38000,Linux
1448,38000,MySQL
1448,38000,DHTML
1448,38000,HTML
1450,65000,
1451,65000,AJAX
1451,65000,PHP
1451,65000,Dreamweaver
1451,65000,HTML
1451,65000,JavaScript
1452,100000,AWS
1453,55000,
1454,85000,ReactJS
1456,30000,C#
1456,30000,MSSQL
1456,30000,HTML
1456,30000,JavaScript
1456,30000,jQuery
1456,30000,CSS
1457,55000,ReactJS
1458,50000,
1459,68500,
1461,40000,Linux
1461,40000,Git
1461,40000,PHP
1461,40000,MySQL
1461,40000,TCP/IP
1462,65000,HTML
1462,65000,JavaScript
1462,65000,CSS
1462,65000,VueJS
1466,72500,中文打字50~75
1466,72500,英文打字50~75
1469,42000,
1473,28000,Linux
1473,28000,HTTP
1473,28000,TCP/IP
1475,28000,Java
1475,28000,HTTP
1475,28000,TCP/IP
1476,35000,
1477,100000,C
1477,100000,C++
1478,100000,
1479,61000,AJAX
1479,61000,PHP
1479,61000,MySQL
1479,61000,HTML
1479,61000,JavaScript
1479,61000,jQuery
1479,61000,TCP/IP
1480,80000,AJAX
1480,80000,PHP
1480,80000,MySQL
1480,80000,HTML
1480,80000,JavaScript
1480,80000,jQuery
1480,80000,TCP/IP
1481,38500,AJAX
1481,38500,PHP
1481,38500,MySQL
1481,38500,HTML
